"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","YearFiveFold","YearTenFold"
1987,10,14,3,1003,955,1135,1102,"PS",1715,,92,67,,33,8,"BUR","SFO",326,,,0,,0,,,,,,4,0
1987,10,5,1,1434,1430,1528,1522,"PS",1719,,54,52,,6,4,"LAS","LAX",236,,,0,,0,,,,,,2,0
1987,10,19,1,,1547,,1650,"PS",1719,,,63,,,,"LAX","OAK",337,,,1,,0,,,,,,3,0
1987,10,30,5,1628,1541,1732,1647,"PS",1719,,64,66,,45,47,"LAX","OAK",337,,,0,,0,,,,,,2,0
1987,10,6,2,2234,2235,2309,2308,"PS",1723,,35,33,,1,-1,"SEA","BLI",94,,,0,,0,,,,,,0,0
1987,10,6,2,1223,1210,1315,1301,"PS",1724,,52,51,,14,13,"LAX","LAS",236,,,0,,0,,,,,,4,0
1987,10,11,7,1235,1210,1335,1301,"PS",1724,,60,51,,34,25,"LAX","LAS",236,,,0,,0,,,,,,2,0
1987,10,12,1,,1333,,1503,"PS",1727,,,90,,,,"SFO","PDX",550,,,1,,0,,,,,,0,0
1987,10,21,3,651,653,807,803,"PS",1731,,76,70,,4,-2,"LGB","SFO",354,,,0,,0,,,,,,2,0
1987,10,11,7,1429,1430,1525,1527,"PS",1737,,56,57,,-2,-1,"LAX","SJC",308,,,0,,0,,,,,,4,0
1987,10,1,4,747,747,900,843,"PS",1739,,73,56,,17,0,"LAX","MRY",267,,,0,,0,,,,,,2,0
1987,10,11,7,1930,1900,2047,2008,"PS",1741,,77,68,,39,30,"LAX","SFO",337,,,0,,0,,,,,,0,0
1987,10,18,7,1945,1930,2052,2031,"PS",1742,,67,61,,21,15,"SFO","BUR",326,,,0,,0,,,,,,0,0
1987,10,6,2,1254,1255,1356,1403,"PS",1743,,62,68,,-7,-1,"BUR","SFO",326,,,0,,0,,,,,,1,0
1987,10,3,6,1150,1051,1318,1217,"PS",1746,,88,86,,61,59,"EUG","SFO",451,,,0,,0,,,,,,1,0
1987,10,15,4,1046,1030,1210,1141,"PS",1748,,84,71,,29,16,"SFO","LAX",337,,,0,,0,,,,,,3,0
1987,10,28,3,1051,1030,1217,1141,"PS",1748,,86,71,,36,21,"SFO","LAX",337,,,0,,0,,,,,,3,0
1987,10,26,1,2300,2300,2400,2359,"PS",1749,,60,59,,1,0,"LAX","SFO",337,,,0,,0,,,,,,1,0
1987,10,8,4,1244,1237,1344,1335,"PS",1750,,60,58,,9,7,"MRY","LAX",267,,,0,,0,,,,,,1,0
1987,10,9,5,2354,2355,55,55,"PS",1751,,61,60,,0,-1,"LAX","SFO",337,,,0,,0,,,,,,2,0
1987,10,3,6,1335,1242,1454,1355,"PS",1752,,79,73,,59,53,"SFO","ONT",363,,,0,,0,,,,,,3,0
1987,10,22,4,631,630,733,736,"PS",1753,,62,66,,-3,1,"LAX","SFO",337,,,0,,0,,,,,,0,0
1987,10,10,6,2121,2120,2220,2221,"PS",1755,,59,61,,-1,1,"LAX","OAK",337,,,0,,0,,,,,,3,0
1987,10,17,6,2120,2120,2223,2221,"PS",1755,,63,61,,2,0,"LAX","OAK",337,,,0,,0,,,,,,1,0
1987,10,24,6,2123,2120,2226,2221,"PS",1755,,63,61,,5,3,"LAX","OAK",337,,,0,,0,,,,,,1,0
1987,10,19,1,2014,2015,2051,2052,"PS",1755,,37,37,,-1,-1,"SAN","LAX",109,,,0,,0,,,,,,2,0
1987,10,10,6,1433,1422,1622,1605,"PS",1760,,109,103,,17,11,"PSC","SFO",620,,,0,,0,,,,,,1,0
1987,10,6,2,1713,1630,1843,1741,"PS",1760,,90,71,,62,43,"SFO","LAX",337,,,0,,0,,,,,,1,0
1987,10,5,1,1331,1333,1356,1357,"PS",1760,,25,24,,-1,-2,"YKM","PSC",71,,,0,,0,,,,,,3,0
1987,10,5,1,1646,1645,1751,1751,"PS",1761,,65,66,,0,1,"LAX","SMF",373,,,0,,0,,,,,,3,0
1987,10,28,3,1544,1510,1736,1657,"PS",1762,,112,107,,39,34,"PSC","SFO",620,,,0,,0,,,,,,4,0
1987,10,8,4,1129,1119,1316,1303,"PS",1763,,107,104,,13,10,"SFO","SEA",679,,,0,,0,,,,,,4,0
1987,10,12,1,1134,1119,1319,1303,"PS",1763,,105,104,,16,15,"SFO","SEA",679,,,0,,0,,,,,,3,0
1987,10,17,6,1351,1330,1511,1431,"PS",1766,,80,61,,40,21,"SFO","BUR",326,,,0,,0,,,,,,1,0
1987,10,18,7,1423,1330,1526,1431,"PS",1766,,63,61,,55,53,"SFO","BUR",326,,,0,,0,,,,,,2,0
1987,10,27,2,1331,1330,1436,1433,"PS",1767,,65,63,,3,1,"LAX","SFO",337,,,0,,0,,,,,,3,0
1987,10,24,6,1157,1152,1236,1232,"PS",1770,,39,40,,4,5,"LAX","SAN",109,,,0,,0,,,,,,4,0
1987,10,28,3,1611,1530,1729,1643,"PS",1771,,78,73,,46,41,"LAX","SFO",337,,,0,,0,,,,,,2,0
1987,10,19,1,1545,1545,1714,1701,"PS",1772,,89,76,,13,0,"SFO","SAN",447,,,0,,0,,,,,,3,0
1987,10,23,5,1113,1055,1257,1204,"PS",1773,,104,69,,53,18,"BUR","SFO",326,,,0,,0,,,,,,4,0
1987,10,29,4,1245,1150,1404,1305,"PS",1773,,79,75,,59,55,"BUR","SFO",326,,,0,,0,,,,,,0,0
1987,10,12,1,2157,2155,2228,2229,"PS",1776,,31,34,,-1,2,"SFO","MRY",77,,,0,,0,,,,,,0,0
1987,10,21,3,2154,2155,2224,2229,"PS",1776,,30,34,,-5,-1,"SFO","MRY",77,,,0,,0,,,,,,0,0
1987,10,28,3,2234,2215,2301,2240,"PS",1777,,27,25,,21,19,"PSC","YKM",71,,,0,,0,,,,,,2,0
1987,10,16,5,2141,2120,2231,2209,"PS",1778,,50,49,,22,21,"RNO","SFO",192,,,0,,0,,,,,,2,0
1987,10,23,5,2120,2120,2216,2209,"PS",1778,,56,49,,7,0,"RNO","SFO",192,,,0,,0,,,,,,0,0
1987,10,16,5,2246,2235,2359,2349,"PS",1778,,73,74,,10,11,"SFO","SAN",447,,,0,,0,,,,,,1,0
1987,10,19,1,1006,1002,1046,1044,"PS",1780,,40,42,,2,4,"RDM","MFR",156,,,0,,0,,,,,,1,0
1987,10,26,1,1117,1117,1215,1203,"PS",1781,,58,46,,12,0,"SFO","RNO",192,,,0,,0,,,,,,2,0
1987,10,1,4,1230,1225,1358,1345,"PS",1783,,88,80,,13,5,"RNO","PDX",444,,,0,,0,,,,,,4,0
1987,10,4,7,2040,2040,2137,2131,"PS",1795,,57,51,,6,0,"LAS","SNA",226,,,0,,0,,,,,,0,0
1987,10,15,4,2052,2040,2149,2131,"PS",1795,,57,51,,18,12,"LAS","SNA",226,,,0,,0,,,,,,2,0
1987,10,13,2,2218,2135,2334,2250,"PS",1798,,76,75,,44,43,"SFO","LAS",414,,,0,,0,,,,,,4,0
1987,10,30,5,1205,1206,1234,1240,"PS",1802,,29,34,,-6,-1,"BLI","SEA",94,,,0,,0,,,,,,2,0
1987,10,19,1,808,800,1030,1021,"PS",1803,,142,141,,9,8,"LAX","SEA",954,,,0,,0,,,,,,0,0
1987,10,27,2,810,800,1029,1021,"PS",1803,,139,141,,8,10,"LAX","SEA",954,,,0,,0,,,,,,0,0
1987,10,24,6,655,655,734,731,"PS",1803,,39,36,,3,0,"SAN","LAX",109,,,0,,0,,,,,,0,0
1987,10,1,4,1050,1050,1120,1123,"PS",1803,,30,33,,-3,0,"SEA","BLI",94,,,0,,0,,,,,,2,0
1987,10,9,5,1053,1050,1125,1123,"PS",1803,,32,33,,2,3,"SEA","BLI",94,,,0,,0,,,,,,0,0
1987,10,4,7,1000,955,1058,1100,"PS",1804,,58,65,,-2,5,"SJC","LAX",308,,,0,,0,,,,,,0,0
1987,10,9,5,1159,1200,1419,1417,"PS",1805,,140,137,,2,-1,"LAX","SEA",954,,,0,,0,,,,,,0,0
1987,10,10,6,1212,1200,1427,1417,"PS",1805,,135,137,,10,12,"LAX","SEA",954,,,0,,0,,,,,,3,0
1987,10,15,4,1211,1200,1505,1417,"PS",1805,,174,137,,48,11,"LAX","SEA",954,,,0,,0,,,,,,2,0
1987,10,1,4,1054,1055,1130,1133,"PS",1805,,36,38,,-3,-1,"SAN","LAX",109,,,0,,0,,,,,,2,0
1987,10,7,3,1232,1230,1331,1327,"PS",1807,,59,57,,4,2,"LAX","SJC",308,,,0,,0,,,,,,0,0
1987,10,19,1,1230,1230,1329,1327,"PS",1807,,59,57,,2,0,"LAX","SJC",308,,,0,,0,,,,,,1,0
1987,10,20,2,1240,1230,1344,1327,"PS",1807,,64,57,,17,10,"LAX","SJC",308,,,0,,0,,,,,,4,0
1987,10,3,6,749,750,909,902,"PS",1808,,80,72,,7,-1,"OAK","LAX",337,,,0,,0,,,,,,0,0
1987,10,9,5,749,750,910,902,"PS",1808,,81,72,,8,-1,"OAK","LAX",337,,,0,,0,,,,,,0,0
1987,10,14,3,1710,1710,1810,1803,"PS",1809,,60,53,,7,0,"LAX","MRY",267,,,0,,0,,,,,,2,0
1987,10,19,1,923,923,1035,1030,"PS",1810,,72,67,,5,0,"OAK","LAX",337,,,0,,0,,,,,,4,0
1987,10,30,5,1929,1928,2020,2015,"PS",1815,,51,47,,5,1,"SFO","RNO",192,,,0,,0,,,,,,1,0
1987,10,29,4,1143,1130,1252,1235,"PS",1824,,69,65,,17,13,"SFO","BUR",326,,,0,,0,,,,,,4,0
1987,10,8,4,1415,1415,1521,1518,"PS",1825,,66,63,,3,0,"LAX","OAK",337,,,0,,0,,,,,,1,0
1987,10,17,6,1353,1354,1428,1430,"PS",1827,,35,36,,-2,-1,"SAN","LAX",109,,,0,,0,,,,,,3,0
1987,10,22,4,1357,1354,1439,1430,"PS",1827,,42,36,,9,3,"SAN","LAX",109,,,0,,0,,,,,,4,0
1987,10,10,6,929,930,1054,1100,"PS",1829,,85,90,,-6,-1,"RNO","SEA",564,,,0,,0,,,,,,3,0
1987,10,27,2,810,810,925,922,"PS",1830,,75,72,,3,0,"SMF","LAX",373,,,0,,0,,,,,,2,0
1987,10,27,2,2246,2155,2354,2259,"PS",1835,,68,64,,55,51,"LAX","SMF",373,,,0,,0,,,,,,1,0
1987,10,29,4,1754,1700,1913,1811,"PS",1837,,79,71,,62,54,"LAX","SFO",337,,,0,,0,,,,,,3,0
1987,10,6,2,1654,1655,1808,1755,"PS",1838,,74,60,,13,-1,"SJC","LAX",308,,,0,,0,,,,,,3,0
1987,10,18,7,2134,2135,2244,2242,"PS",1840,,70,67,,2,-1,"SMF","LAX",373,,,0,,0,,,,,,4,0
1987,10,14,3,1017,1016,1057,1054,"PS",1841,,40,38,,3,1,"SAN","LAX",109,,,0,,0,,,,,,0,0
1987,10,20,2,910,905,1021,1003,"PS",1850,,71,58,,18,5,"MRY","LAX",267,,,0,,0,,,,,,2,0
1987,10,26,1,903,905,1010,1003,"PS",1850,,67,58,,7,-2,"MRY","LAX",267,,,0,,0,,,,,,0,0
1987,10,29,4,1612,1510,1712,1604,"PS",1854,,60,54,,68,62,"LAX","LAS",236,,,0,,0,,,,,,1,0
1987,10,13,2,1419,1330,1537,1440,"PS",1854,,78,70,,57,49,"SFO","LAX",337,,,0,,0,,,,,,1,0
1987,10,21,3,1330,1330,1447,1440,"PS",1854,,77,70,,7,0,"SFO","LAX",337,,,0,,0,,,,,,3,0
1987,10,13,2,755,730,915,840,"PS",1855,,80,70,,35,25,"LAX","SFO",337,,,0,,0,,,,,,0,0
1987,10,6,2,,905,,1028,"PS",1855,,,83,,,,"SFO","EUG",451,,,1,,0,,,,,,1,0
1987,10,24,6,905,905,1051,1028,"PS",1855,,106,83,,23,0,"SFO","EUG",451,,,0,,0,,,,,,0,0
1987,10,18,7,1621,1600,1724,1701,"PS",1861,,63,61,,23,21,"LAX","SCK",315,,,0,,0,,,,,,3,0
1987,10,23,5,603,605,652,659,"PS",1868,,49,54,,-7,-2,"FAT","LAX",209,,,0,,0,,,,,,4,0
1987,10,19,1,1354,1355,1507,1504,"PS",1870,,73,69,,3,-1,"CCR","LAX",346,,,0,,0,,,,,,3,0
1987,10,21,3,1354,1355,1506,1504,"PS",1870,,72,69,,2,-1,"CCR","LAX",346,,,0,,0,,,,,,4,0
1987,10,20,2,1225,1225,1344,1332,"PS",1871,,79,67,,12,0,"LAX","CCR",346,,,0,,0,,,,,,0,0
1987,10,18,7,1436,1410,1611,1531,"PS",1879,,95,81,,40,26,"LAS","SFO",414,,,0,,0,,,,,,2,0
1987,10,24,6,1417,1410,1537,1531,"PS",1879,,80,81,,6,7,"LAS","SFO",414,,,0,,0,,,,,,4,0
1987,10,31,6,2041,2040,2130,2127,"PS",1883,,49,47,,3,1,"SFO","RNO",192,,,0,,0,,,,,,1,0
1987,10,10,6,1254,1250,1448,1403,"PS",1886,,114,73,,45,4,"SFO","SNA",372,,,0,,0,,,,,,2,0
1987,10,22,4,1343,1250,1510,1403,"PS",1886,,87,73,,67,53,"SFO","SNA",372,,,0,,0,,,,,,1,0
1987,10,25,7,1053,1030,1211,1149,"PS",1887,,78,79,,22,23,"SNA","SFO",372,,,0,,0,,,,,,2,0
1987,10,27,2,1047,1030,1206,1149,"PS",1887,,79,79,,17,17,"SNA","SFO",372,,,0,,0,,,,,,2,0
1987,10,1,4,1533,1530,1725,1717,"PS",1892,,112,107,,8,3,"SEA","SFO",679,,,0,,0,,,,,,0,0
1987,10,5,1,655,653,808,759,"PS",1901,,73,66,,9,2,"BUR","SFO",326,,,0,,0,,,,,,4,0
1987,10,12,1,1415,1400,1458,1440,"PS",1902,,43,40,,18,15,"LAX","SAN",109,,,0,,0,,,,,,2,0
1987,10,9,5,1110,1100,1346,1323,"PS",1902,,156,143,,23,10,"SEA","LAX",954,,,0,,0,,,,,,4,0
1987,10,6,2,2242,2240,2354,2345,"PS",1904,,72,65,,9,2,"LAX","PHX",370,,,0,,0,,,,,,1,0
1987,10,16,5,1,2240,108,2345,"PS",1904,,67,65,,83,81,"LAX","PHX",370,,,0,,0,,,,,,4,0
1987,10,4,7,1755,1750,2013,2005,"PS",1905,,138,135,,8,5,"LAX","SEA",954,,,0,,0,,,,,,2,0
1987,10,3,6,559,600,717,720,"PS",1906,,78,80,,-3,-1,"EUG","SFO",451,,,0,,0,,,,,,3,0
1987,10,5,1,801,800,920,914,"PS",1906,,79,74,,6,1,"SFO","LAX",337,,,0,,0,,,,,,3,0
1987,10,11,7,1602,1553,1650,1640,"PS",1907,,48,47,,10,9,"LAX","FAT",209,,,0,,0,,,,,,0,0
1987,10,25,7,1449,1450,1532,1526,"PS",1907,,43,36,,6,-1,"SAN","LAX",109,,,0,,0,,,,,,4,0
